trajID,t,pos_x,pos_y,pos_z,vel_x,vel_y,vel_z,acc_x,acc_y,acc_z
0,2.3,0.993188,1.95068,0.481979,0.348013,-1.37777,0.0380423,-0.691704,-3.02768,1.9956
0,2.31,0.996633,1.93675,0.482459,0.341088,-1.40768,0.0580004,-0.693346,-2.95488,1.99592
0,2.32,1.00001,1.92253,0.483139,0.334147,-1.43686,0.0779584,-0.694728,-2.87944,1.99557
0,2.33,1.00332,1.90802,0.484018,0.327194,-1.46526,0.0979095,-0.695846,-2.80132,1.99455
0,2.34,1.00655,1.89322,0.485097,0.320231,-1.49287,0.117847,-0.696696,-2.7205,1.99285
0,2.35,1.00972,1.87816,0.486375,0.313261,-1.51966,0.137764,-0.697275,-2.63697,1.99046
0,2.36,1.01282,1.86283,0.487852,0.306287,-1.5456,0.157654,-0.697581,-2.55069,1.98739
0,2.37,1.01585,1.84725,0.489528,0.299311,-1.57067,0.17751,-0.69761,-2.46163,1.98361
0,2.38,1.0188,1.83142,0.491402,0.292335,-1.59483,0.197324,-0.697358,-2.36978,1.97913
0,2.39,1.02169,1.81536,0.493475,0.285364,-1.61805,0.21709,-0.696822,-2.27511,1.97392
0,2.4,1.02451,1.79907,0.495744,0.2784,-1.64032,0.2368,-0.696,-2.1776,1.968
0,2.41,1.02726,1.78256,0.49821,0.271445,-1.6616,0.256447,-0.694888,-2.07722,1.96134
0,2.42,1.02994,1.76584,0.500873,0.264503,-1.68185,0.276024,-0.693482,-1.97394,1.95395
0,2.43,1.03255,1.74892,0.503731,0.257577,-1.70107,0.295524,-0.691781,-1.86774,1.94581
0,2.44,1.03509,1.73182,0.506783,0.250669,-1.7192,0.314938,-0.689779,-1.7586,1.93691
0,2.45,1.03756,1.71454,0.510029,0.243782,-1.73623,0.33426,-0.687475,-1.6465,1.92726
0,2.46,1.03997,1.6971,0.513468,0.23692,-1.75212,0.353481,-0.684864,-1.5314,1.91683
0,2.47,1.0423,1.6795,0.517098,0.230086,-1.76685,0.372594,-0.681944,-1.41328,1.90563
0,2.48,1.04457,1.66177,0.520919,0.223282,-1.78038,0.391591,-0.678712,-1.29213,1.89364
0,2.49,1.04677,1.6439,0.52493,0.216513,-1.79268,0.410464,-0.675164,-1.1679,1.88086
0,2.5,1.0489,1.62592,0.529128,0.20978,-1.80372,0.429205,-0.671296,-1.04059,1.86728
